Farm Size (ha), Total Production (kg/ton), Market Price (INR/kg/ton), Govt. Subsidies (INR), Total Expenses (INR), Net Income (INR), Labour Costs (INR), Loan Amount (INR), CIBIL Score (Numeric), Crop Type, Water Source, Location, Loan Repayment
8, 5000, 35, 15000, 45000, 175000, 30000, 50000, 680, Wheat, Canal, Punjab, 1
12, 7000, 28, 20000, 55000, 206000, 32000, 60000, 720, Rice, Borewell, Haryana, 0
6, 4500, 40, 18000, 40000, 135000, 25000, 45000, 650, Sugarcane, River, Uttar Pradesh, 1
9, 6000, 30, 16000, 50000, 192000, 35000, 55000, 700, Wheat, Tube well, Maharashtra, 0
10, 5500, 32, 17000, 48000, 167000, 28000, 52000, 670, Rice, Canal, Tamil Nadu, 1
7, 4800, 38, 14000, 42000, 156000, 27000, 48000, 640, Sugarcane, Borewell, Karnataka, 0
11, 6500, 25, 22000, 60000, 221000, 38000, 62000, 710, Wheat, River, Punjab, 1
5, 4000, 45, 13000, 38000, 155000, 28000, 40000, 660, Rice, Tube well, Telangana, 0
13, 7200, 26, 24000, 62000, 235000, 40000, 65000, 730, Sugarcane, Canal, Uttar Pradesh, 1
4, 3500, 50, 12000, 35000, 125000, 23000, 35000, 620, Wheat, River, Madhya Pradesh, 0
14, 7500, 23, 26000, 65000, 248000, 42000, 70000, 750, Rice, Borewell, Punjab, 1
9, 5800, 33, 18000, 52000, 185000, 32000, 56000, 690, Sugarcane, Tube well, Maharashtra, 0
6, 4200, 42, 16000, 43000, 148000, 26000, 42000, 670, Wheat, Canal, Haryana, 1
8, 5200, 36, 17000, 46000, 182000, 31000, 51000, 700, Rice, River, Tamil Nadu, 0
12, 6800, 27, 23000, 60000, 220000, 36000, 59000, 720, Sugarcane, Tube well, Uttar Pradesh, 1
7, 4600, 40, 15000, 40000, 150000, 26000, 45000, 640, Wheat, Borewell, Karnataka, 0
10, 6000, 28, 20000, 54000, 202000, 33000, 57000, 710, Rice, Canal, Punjab, 1
5, 3800, 48, 14000, 36000, 145000, 25000, 38000, 680, Sugarcane, River, Telangana, 0
11, 7000, 30, 24000, 64000, 246000, 42000, 67000, 740, Wheat, Tube well, Maharashtra, 1
8, 5400, 34, 16000, 48000, 182000, 30000, 52000, 720, Rice, Canal, Uttar Pradesh, 0
13, 7500, 25, 26000, 68000, 252000, 43000, 68000, 760, Sugarcane, Borewell, Karnataka, 1
6, 4300, 44, 17000, 45000, 155000, 27000, 43000, 690, Wheat, River, Tamil Nadu, 0
9, 6200, 32, 21000, 58000, 216000, 36000, 59000, 740, Rice, Tube well, Punjab, 1
7, 4800, 38, 18000, 42000, 160000, 28000, 48000, 710, Sugarcane, Canal, Uttar Pradesh, 0
10, 5700, 30, 19000, 52000, 197000, 34000, 58000, 750, Wheat, Borewell, Haryana, 1
5, 3900, 50, 16000, 38000, 155000, 27000, 39000, 710, Rice, River, Maharashtra, 0
11, 7200, 28, 25000, 66000, 252000, 43000, 70000, 780, Sugarcane, Tube well, Telangana, 1
8, 5600, 35, 18000, 50000, 185000, 32000, 54000, 740, Wheat, Canal, Karnataka, 0
12, 6900, 26, 24000, 62000, 228000, 38000, 61000, 780, Rice, Borewell, Punjab, 1
7, 4700, 40, 16000, 44000, 165000, 29000, 47000, 720, Sugarcane, River, Uttar Pradesh, 0
9, 6300, 33, 20000, 56000, 205000, 34000, 60000, 760, Wheat, Tube well, Tamil Nadu, 1
6, 4400, 42, 18000, 46000, 165000, 28000, 44000, 730, Rice, Canal, Maharashtra, 0
10, 6200, 28, 21000, 56000, 208000, 36000, 62000, 770, Sugarcane, Borewell, Karnataka, 1
8, 5400, 36, 17000, 50000, 182000, 31000, 53000, 750, Wheat, River, Punjab, 0
13, 7600, 25, 26000, 70000, 258000, 44000, 72000, 800, Rice, Tube well, Haryana, 1
7, 4900, 38, 19000, 45000, 175000, 30000, 49000, 740, Sugarcane, Canal, Uttar Pradesh, 0
11, 7400, 28, 25000, 68000, 258000, 44000, 71000, 820, Wheat, Borewell, Maharashtra, 1
9, 6400, 32, 22000, 60000, 216000, 37000, 63000, 780, Rice, River, Tamil Nadu, 0
6, 4500, 44, 19000, 48000, 165000, 29000, 45000, 750, Sugarcane, Tube well, Uttar Pradesh, 1
10, 6000, 30, 20000, 54000, 202000, 35000, 59000, 790, Wheat, Canal, Karnataka, 0
8, 5500, 34, 18000, 52000, 186000, 32000, 55000, 770, Rice, Borewell, Punjab, 1
12, 7100, 27, 24000, 64000, 232000, 40000, 64000, 820, Sugarcane, River, Maharashtra, 0
7, 4800, 40, 17000, 43000, 160000, 28000, 48000, 750, Wheat, Tube well, Tamil Nadu, 1
9, 6400, 33, 21000, 58000, 210000, 36000, 61000, 800, Rice, Canal, Haryana, 0
6, 4600, 42, 18000, 47000, 170000, 30000, 46000, 770, Sugarcane, Borewell, Uttar Pradesh, 1
10, 6300, 28, 22000, 58000, 212000, 37000, 62000, 820, Wheat, River, Punjab, 0
8, 5600, 36, 18000, 51000, 186000, 32000, 56000, 800, Rice, Tube well, Karnataka, 1
13, 7700, 25, 27000, 72000, 265000, 45000, 73000, 840, Sugarcane, Canal, Maharashtra, 0
7, 5000, 38, 20000, 46000, 180000, 31000, 50000, 780, Wheat, Borewell, Tamil Nadu, 1
11, 7500, 28, 26000, 70000, 265000, 45000, 74000, 860, Rice, River, Uttar Pradesh, 0
9, 6500, 32, 23000, 62000, 226000, 39000, 65000, 840, Sugarcane, Tube well, Punjab, 1
6, 4700, 42, 19000, 48000, 170000, 30000, 47000, 800, Wheat, Canal, Maharashtra, 0
10, 6400, 30, 22000, 58000, 216000, 37000, 63000, 860, Rice, Borewell, Haryana, 1
8, 5000, 35, 15000, 45000, 175000, 30000, 50000, 320, Wheat, Canal, Punjab, 0
12, 7000, 28, 20000, 55000, 206000, 32000, 60000, 250, Rice, Borewell, Haryana, 0
6, 4500, 40, 18000, 40000, 135000, 25000, 45000, 370, Sugarcane, River, Uttar Pradesh, 0
9, 6000, 30, 16000, 50000, 192000, 35000, 55000, 280, Wheat, Tube well, Maharashtra, 0
10, 5500, 32, 17000, 48000, 167000, 28000, 52000, 340, Rice, Canal, Tamil Nadu, 0
7, 4800, 38, 14000, 42000, 156000, 27000, 48000, 310, Sugarcane, Borewell, Karnataka, 0
11, 6500, 25, 22000, 60000, 221000, 38000, 62000, 390, Wheat, River, Punjab, 0
5, 4000, 45, 13000, 38000, 155000, 28000, 40000, 360, Rice, Tube well, Telangana, 0
13, 7200, 26, 24000, 62000, 235000, 40000, 65000, 370, Sugarcane, Canal, Uttar Pradesh, 0
4, 3500, 50, 12000, 35000, 125000, 23000, 35000, 320, Wheat, River, Madhya Pradesh, 0
14, 7500, 23, 26000, 65000, 248000, 42000, 70000, 280, Rice, Borewell, Punjab, 0
9, 5800, 33, 18000, 52000, 185000, 32000, 56000, 290, Sugarcane, Tube well, Maharashtra, 0
6, 4200, 42, 16000, 43000, 148000, 26000, 42000, 370, Wheat, Canal, Haryana, 0
8, 5200, 36, 17000, 46000, 182000, 31000, 51000, 310, Rice, River, Tamil Nadu, 0
12, 6800, 27, 23000, 60000, 220000, 36000, 59000, 380, Sugarcane, Tube well, Uttar Pradesh, 0
7, 4600, 40, 15000, 40000, 150000, 26000, 45000, 340, Wheat, Borewell, Karnataka, 0
10, 6000, 28, 20000, 54000, 202000, 33000, 57000, 410, Rice, Canal, Punjab, 0
5, 3800, 48, 14000, 36000, 145000, 25000, 38000, 370, Sugarcane, River, Telangana, 0
11, 7000, 30, 24000, 64000, 246000, 42000, 67000, 390, Wheat, Tube well, Maharashtra, 0
8, 5400, 34, 16000, 48000, 182000, 30000, 52000, 320, Rice, Canal, Uttar Pradesh, 0
13, 7500, 25, 26000, 68000, 252000, 43000, 68000, 280, Sugarcane, Borewell, Karnataka, 0
6, 4300, 44, 17000, 45000, 155000, 27000, 43000, 340, Wheat, River, Tamil Nadu, 0
9, 6200, 32, 21000, 58000, 216000, 36000, 59000, 310, Rice, Tube well, Punjab, 0
7, 4800, 38, 18000, 42000, 160000, 28000, 48000, 410, Sugarcane, Canal, Uttar Pradesh, 0
10, 5700, 30, 19000, 52000, 197000, 34000, 58000, 370, Wheat, Borewell, Haryana, 0
5, 3900, 50, 16000, 38000, 155000, 27000, 39000, 320, Rice, River, Maharashtra, 0
11, 7200, 28, 25000, 66000, 252000, 43000, 70000, 380, Sugarcane, Tube well, Telangana, 0
8, 5600, 35, 18000, 50000, 185000, 32000, 54000, 310, Wheat, Canal, Karnataka, 0
12, 6900, 26, 24000, 62000, 228000, 38000, 61000, 390, Rice, Borewell, Punjab, 0
7, 4700, 40, 16000, 44000, 165000, 29000, 47000, 340, Sugarcane, River, Uttar Pradesh, 0
9, 6300, 33, 20000, 56000, 205000, 34000, 60000, 310, Wheat, Tube well, Tamil Nadu, 0
6, 4400, 42, 18000, 46000, 165000, 28000, 44000, 370, Rice, Canal, Maharashtra, 0
10, 6200, 28, 21000, 56000, 208000, 36000, 62000, 410, Sugarcane, Borewell, Karnataka, 0
8, 5400, 36, 17000, 50000, 185000, 31000, 53000, 390, Wheat, River, Punjab, 0
13, 7600, 25, 26000, 70000, 258000, 44000, 72000, 280, Rice, Tube well, Haryana, 0
7, 4900, 38, 19000, 45000, 175000, 30000, 49000, 340, Sugarcane, Canal, Uttar Pradesh, 0
11, 7400, 28, 25000, 68000, 258000, 44000, 71000, 380, Wheat, Borewell, Maharashtra, 0
9, 6400, 32, 23000, 62000, 226000, 39000, 65000, 310, Rice, River, Tamil Nadu, 0
6, 4500, 44, 19000, 48000, 165000, 29000, 45000, 370, Sugarcane, Tube well, Uttar Pradesh, 0
10, 6000, 30, 20000, 54000, 202000, 35000, 59000, 410, Wheat, Canal, Karnataka, 0
8, 5500, 34, 18000, 52000, 186000, 32000, 55000, 390, Rice, Borewell, Punjab, 0
12, 7100, 27, 24000, 64000, 232000, 40000, 64000, 380, Sugarcane, River, Maharashtra, 0
7, 4800, 40, 17000, 43000, 160000, 28000, 48000, 340, Wheat, Tube well, Tamil Nadu, 0
9, 6400, 33, 21000, 58000, 210000, 36000, 61000, 310, Rice, Canal, Haryana, 0
6, 4600, 42, 18000, 47000, 170000, 30000, 46000, 370, Sugarcane, Borewell, Uttar Pradesh, 0
10, 6300, 28, 22000, 58000, 212000, 37000, 62000, 410, Wheat, River, Punjab, 0
8, 5600, 36, 18000, 51000, 186000, 32000, 56000, 390, Rice, Tube well, Karnataka, 0
13, 7700, 25, 27000, 72000, 265000, 45000, 73000, 280, Sugarcane, Canal, Maharashtra, 0
7, 5000, 38, 20000, 46000, 180000, 31000, 50000, 340, Wheat, Borewell, Tamil Nadu, 0
11, 7500, 28, 26000, 70000, 265000, 45000, 74000, 380, Rice, River, Uttar Pradesh, 0
9, 6500, 32, 23000, 62000, 226000, 39000, 65000, 310, Sugarcane, Tube well, Punjab, 0
6, 4700, 42, 19000, 48000, 170000, 30000, 47000, 370, Wheat, Canal, Maharashtra, 0
10, 6400, 30, 22000, 58000, 216000, 37000, 63000, 410, Rice, Borewell, Haryana, 0
8, 5000, 35, 15000, 45000, 175000, 30000, 50000, 650, Wheat, 1, Punjab, 0
12, 7000, 28, 20000, 55000, 206000, 32000, 60000, 620, Rice, 0, Haryana, 0
6, 4500, 40, 18000, 40000, 135000, 25000, 45000, 620, Sugarcane, 3, Uttar Pradesh, 0
9, 6000, 30, 16000, 50000, 192000, 35000, 55000, 680, Wheat, 2, Maharashtra, 0
10, 5500, 32, 17000, 48000, 167000, 28000, 52000, 700, Rice, 1, Tamil Nadu, 0
7, 4800, 38, 14000, 42000, 156000, 27000, 48000, 660, Sugarcane, 0, Karnataka, 0
11, 6500, 25, 22000, 60000, 221000, 38000, 62000, 690, Wheat, 1, Punjab, 0
5, 4000, 45, 13000, 38000, 155000, 28000, 40000, 710, Rice, 3, Telangana, 0
13, 7200, 26, 24000, 62000, 235000, 40000, 65000, 720, Sugarcane, 1, Uttar Pradesh, 0
4, 3500, 50, 12000, 35000, 125000, 23000, 35000, 630, Wheat, 0, Madhya Pradesh, 0
14, 7500, 23, 26000, 65000, 248000, 42000, 70000, 640, Rice, 2, Punjab, 0
9, 5800, 33, 18000, 52000, 185000, 32000, 56000, 750, Sugarcane, 3, Maharashtra, 0
6, 4200, 42, 16000, 43000, 148000, 26000, 42000, 710, Wheat, 1, Haryana, 0
8, 5200, 36, 17000, 46000, 182000, 31000, 51000, 670, Rice, 2, Tamil Nadu, 0
12, 6800, 27, 23000, 60000, 220000, 36000, 59000, 690, Sugarcane, 0, Uttar Pradesh, 0
7, 4600, 40, 15000, 40000, 150000, 26000, 45000, 680, Wheat, 3, Karnataka, 0
10, 6000, 28, 20000, 54000, 202000, 33000, 57000, 740, Rice, 1, Punjab, 0
5, 3800, 48, 14000, 36000, 145000, 25000, 38000, 770, Sugarcane, 2, Telangana, 0
11, 7000, 30, 24000, 64000, 246000, 42000, 67000, 780, Wheat, 0, Maharashtra, 0
8, 5400, 34, 16000, 48000, 182000, 30000, 52000, 790, Rice, 1, Uttar Pradesh, 0
13, 7500, 25, 26000, 68000, 252000, 43000, 68000, 820, Sugarcane, 3, Karnataka, 0
6, 4300, 44, 17000, 45000, 155000, 27000, 43000, 830, Wheat, 0, Tamil Nadu, 0
9, 6200, 32, 21000, 58000, 215000, 36000, 61000, 850, Rice, 1, Punjab, 0
4, 3700, 52, 13000, 36000, 135000, 23000, 35000, 840, Sugarcane, 2, Haryana, 0
14, 7600, 23, 28000, 70000, 270000, 46000, 72000, 880, Wheat, 3, Maharashtra, 0
7, 4700, 38, 16000, 42000, 160000, 28000, 47000, 890, Rice, 1, Karnataka, 0
10, 6200, 28, 22000, 58000, 216000, 35000, 59000, 920, Sugarcane, 0, Uttar Pradesh, 0
5, 3900, 46, 15000, 40000, 155000, 26000, 39000, 930, Wheat, 2, Tamil Nadu, 0
11, 7100, 30, 24000, 64000, 245000, 42000, 68000, 960, Rice, 3, Punjab, 0
8, 5500, 35, 17000, 49000, 177000, 31000, 53000, 980, Sugarcane, 1, Maharashtra, 0
12, 6900, 28, 23000, 62000, 225000, 37000, 60000, 990, Wheat, 2, Uttar Pradesh, 0
6, 4400, 42, 18000, 47000, 165000, 28000, 44000, 1010, Rice, 3, Haryana, 0
9, 6300, 33, 21000, 58000, 214000, 36000, 62000, 1040, Sugarcane, 0, Punjab, 0
4, 3800, 50, 14000, 38000, 140000, 24000, 38000, 1050, Wheat, 1, Maharashtra, 0
14, 7400, 24, 27000, 72000, 262000, 45000, 71000, 1080, Rice, 2, Uttar Pradesh, 0
7, 4800, 40, 17000, 44000, 160000, 28000, 48000, 1090, Sugarcane, 3, Haryana, 0
10, 6300, 28, 22000, 58000, 216000, 36000, 61000, 1120, Wheat, 0, Tamil Nadu, 0
5, 4000, 48, 16000, 42000, 170000, 29000, 40000, 1150, Rice, 1, Punjab, 0
11, 7200, 30, 25000, 66000, 255000, 43000, 70000, 1180, Sugarcane, 2, Maharashtra, 0
8, 5600, 36, 18000, 52000, 186000, 32000, 56000, 1200, Wheat, 3, Haryana, 0
12, 7000, 28, 23000, 60000, 225000, 38000, 61000, 1230, Rice, 0, Punjab, 0
6, 4300, 44, 17000, 45000, 155000, 26000, 43000, 1250, Sugarcane, 1, Maharashtra, 0
9, 6400, 32, 21000, 58000, 214000, 36000, 62000, 1280, Wheat, 2, Uttar Pradesh, 0
4, 3900, 52, 14000, 39000, 145000, 25000, 39000, 1300, Rice, 3, Tamil Nadu, 0
14, 7600, 24, 27000, 72000, 260000, 45000, 71000, 1330, Sugarcane, 0, Karnataka, 0
7, 4700, 38, 16000, 42000, 160000, 28000, 47000, 1360, Wheat, 1, Haryana, 0
10, 6400, 28, 22000, 58000, 216000, 36000, 61000, 1390, Rice, 2, Uttar Pradesh, 0
5, 4100, 46, 16000, 44000, 175000, 30000, 41000, 1420, Sugarcane, 3, Karnataka, 0
11, 7300, 30, 25000, 66000, 255000, 43000, 70000, 1450, Wheat, 0, Punjab, 0
8, 5700, 36, 18000, 53000, 186000, 32000, 57000, 1480, Rice, 1, Maharashtra, 0
12, 7100, 28, 24000, 62000, 227000, 38000, 62000, 1510, Sugarcane, 2, Tamil Nadu, 0
6, 4500, 44, 17000, 46000, 160000, 27000, 45000, 1540, Wheat, 3, Uttar Pradesh, 0
9, 6500, 33, 22000, 60000, 220000, 37000, 63000, 1570, Rice, 0, Karnataka, 0
4, 4000, 50, 14000, 40000, 145000, 25000, 40000, 1600, Sugarcane, 1, Punjab, 0
14, 7700, 24, 28000, 74000, 265000, 46000, 72000, 1630, Wheat, 2, Haryana, 0
7, 4800, 40, 17000, 44000, 160000, 28000, 48000, 1660, Rice, 3, Uttar Pradesh, 0
10, 6500, 28, 22000, 58000, 215000, 36000, 60000, 1690, Sugarcane, 0, Maharashtra, 0